ID_Ocorrencia,Data_Hora,Tipo_Desordem,Local_Desordem,Latitude,Longitude,Periodo_Dia,Nivel_Severidade,Status_Ocorrencia,Observacoes,Risco_Previsao
59b6f6af-4e8a-42c3-9171-ff8242a14324,2024-06-21 19:01:37,Vandalismo,Parque Urbano,-23.129446001092887,-46.49309032135017,Manhã,Crítica,Cancelada,Minima doloribus soluta dolorem qui.,0
f22fb38f-466e-4e03-810b-66d568181a92,2024-12-23 05:08:59,Barulho Excessivo,Área Comercial,-23.26421559896988,-46.68105231342813,Madrugada,Média,Em Análise,Hic esse cumque accusamus totam tempore sint.,1
181a532c-a39a-4eb4-bb12-50901b2c369e,2024-09-29 03:02:20,Aglomeração Suspeita,Bairro Residencial A,-23.82595428880324,-46.54735190394999,Manhã,Média,Resolvida,Tempore quaerat cupiditate et illo itaque consequatur.,1
6cb1f2f4-13d9-48dd-b42e-12b642775206,2024-12-12 16:44:42,Outros,Bairro Residencial B,-23.81801008679704,-46.00275473943447,Noite,Alta,Em Análise,Ipsam consectetur enim optio cumque quis.,0
e07a29f4-c7e2-4aac-b15c-3be5156c1f7a,2024-12-18 20:46:15,Vandalismo,Parque Urbano,-23.61872352828948,-46.014057947960985,Noite,Média,Cancelada,Maxime eum odit iste nesciunt.,0
12c5cc65-e044-4d72-929a-d0d180deeea9,2025-05-03 04:01:04,Pichação,Bairro Residencial B,-23.618521002252596,-46.30392245392965,Tarde,Média,Em Análise,Ipsa sunt voluptas expedita.,1
0a0958d8-9a0e-4674-9b40-3c8a0e47e760,2024-07-14 23:31:30,Aglomeração Suspeita,Bairro Residencial A,-23.36389460163454,-46.920523569808324,Manhã,Alta,Resolvida,Assumenda tenetur alias consequuntur.,0
5cc3b0ab-0467-4bae-aa32-a2b3f0237402,2024-10-11 12:52:45,Vandalismo,Bairro Residencial A,-23.678177420242697,-46.80648729343116,Manhã,Crítica,Cancelada,Itaque natus debitis possimus eos iure eaque.,0
54fed491-951a-4d62-92be-e3fa15a520f3,2024-12-22 11:29:26,Lixo Acumulado,Bairro Residencial B,-23.45024437106986,-46.93034433770018,Manhã,Baixa,Reportada,Sunt officia laborum repellendus quis minima.,0
2607b2ae-58d2-4b11-ac18-b1254b061245,2025-02-18 02:26:04,Aglomeração Suspeita,Área Comercial,-23.389740013764865,-46.294401582640965,Noite,Média,Reportada,Dicta consequatur minima sunt eum quos dignissimos.,0
